song_title,artist,country,language,fundamental_freq,freq_e_1,freq_e_2,freq_e_3,key,duration,zero_crossing_rate,mfcc_mean,mfcc_std,tempo,rms_energy,track_type
陳綺貞 Cheer Chen x 貓王收音機【旅行的意義 Travel is Meaningful】單曲發行15週年特別計劃,陳綺貞,China,Chinese,99.17925607,36694396,27402950,25063774,A,314.6240136,0.045701828,-1.632983804,83.73526764,139.6748311,0.103246905,2
Christina Aguilera - Reflection (From _Mulan_ 2020) (Music Video),Christina Aguilera,United States,English,197.176995,52655228,49359824,27228116,F#,267.6564375,0.047272622,-4.891000748,85.00901794,93.75,0.127142027,0
Christina Aguilera - Reflection (From _Mulan_ 2020) (Music Video),Christina Aguilera,United States,English,407.3713365,19311980,9341323,8897891,A,267.6564399,0.190596641,-30.62356186,101.1186905,109.9567819,0.081689768,1
Christina Aguilera - Reflection (From _Mulan_ 2020) (Music Video),Christina Aguilera,United States,English,251.2929723,45753484,41322440,27660648,C,267.6564399,0.047811746,-7.037667274,98.90713501,95.703125,0.078470908,2
Christina Perri - A Thousand Years [Official Music Video],Christina Perri,United States,English,102.2261983,30443028,26666988,16778676,A#,287.788125,0.041446158,-0.319129229,79.02104187,140.625,0.107110366,0
Christina Perri - A Thousand Years [Official Music Video],Christina Perri,United States,English,457.9743471,5587616,4549034.5,4238914,A#,287.7881406,0.236355583,-29.35837555,115.092041,139.6748311,0.04467259,1
Christina Perri - A Thousand Years [Official Music Video],Christina Perri,United States,English,109.9119442,26768090,23228556,14847246,A#,287.7881406,0.041498568,-2.089666128,89.64694214,139.6748311,0.085593432,2
@coldplay - The Scientist (Lyrics),Coldplay,United Kingdom,English,101.1903794,93602512,77764920,57744508,F,307.5134792,0.036637234,1.884929538,73.84449005,73.05194805,0.19625096,0
@coldplay - The Scientist (Lyrics),Coldplay,United Kingdom,English,286.1545648,25145818,22045266,16498293,A,307.5134921,0.205211385,-25.85679817,109.2802124,139.6748311,0.07889127,1
@coldplay - The Scientist (Lyrics),Coldplay,United Kingdom,English,84.07037713,60998500,52620056,23191418,F,307.5134921,0.02940724,-0.975917041,85.43503571,72.78829225,0.132215083,2
